word,POS,lemma,porter,snowball,lancaster
unlearning,JJ,unlearning,unlearn,unlearn,unlearn
perfectionism,NN,perfectionism,perfection,perfection,perfect
common,JJ,common,common,common,common
idea,NN,idea,idea,idea,ide
perfectionism,NN,perfectionism,perfection,perfection,perfect
need,VBP,need,need,need,nee
perfect,JJ,perfect,perfect,perfect,perfect
results,NNS,result,result,result,result
maximum,JJ,maximum,maximum,maximum,maxim
test,NN,test,test,test,test
score,NN,score,score,score,scor
flawless,NN,flawless,flawless,flawless,flawless
recital,VBP,recital,recit,recit,recit
unanimous,JJ,unanimous,unanim,unanim,unanim
verdict,NN,verdict,verdict,verdict,verdict
idea,NN,idea,idea,idea,ide
misses,VBZ,miss,miss,miss,miss
deeper,JJR,deeper,deeper,deeper,deep
reality,NN,reality,realiti,realiti,real
generally,RB,generally,gener,general,gen
perfectionism,NN,perfectionism,perfection,perfection,perfect
tendency,NN,tendency,tendenc,tendenc,tend
stake,NN,stake,stake,stake,stak
identity,NN,identity,ident,ident,id
achieving,VBG,achieving,achiev,achiev,achiev
fixed,VBN,fixed,fix,fix,fix
outcomes,NNS,outcome,outcom,outcom,outcom
fixed,VBN,fixed,fix,fix,fix
outcomes,RB,outcome,outcom,outcom,outcom
vary,JJ,vary,vari,vari,vary
person,NN,person,person,person,person
perfect,JJ,perfect,perfect,perfect,perfect
performance,NN,performance,perform,perform,perform
stereotype,NN,stereotype,stereotyp,stereotyp,stereotyp
fixed,VBN,fixed,fix,fix,fix
outcome,NN,outcome,outcom,outcom,outcom
might,MD,might,might,might,might
feeling,VB,feeling,feel,feel,feel
smart,JJ,smart,smart,smart,smart
beautiful,NN,beautiful,beauti,beauti,beauty
right,RB,right,right,right,right
getting,VBG,getting,get,get,get
car,NN,car,car,car,car
job,NN,job,job,job,job
weve,VBP,weve,weve,weve,wev
craving,VBG,craving,crave,crave,crav
long,RB,long,long,long,long
every,DT,every,everi,everi,every
perfectionist,NN,perfectionist,perfectionist,perfectionist,perfect
personal,JJ,personal,person,person,person
ideal,NN,ideal,ideal,ideal,id
none,NN,none,none,none,non
outcomes,VBZ,outcome,outcom,outcom,outcom
problems,NNS,problem,problem,problem,problem
become,VBP,become,becom,becom,becom
intertwine,JJ,intertwine,intertwin,intertwin,intertwin
identity,NN,identity,ident,ident,id
selfworth,NN,selfworth,selfworth,selfworth,selfwor
perfectionist,NN,perfectionist,perfectionist,perfectionist,perfect
fame,NN,fame,fame,fame,fam
ever,RB,ever,ever,ever,ev
feels,VBZ,feel,feel,feel,feel
unknown,JJ,unknown,unknown,unknown,unknown
feels,NNS,feel,feel,feel,feel
worthless,NN,worthless,worthless,worthless,worthless
ashamed,VBD,ashamed,asham,asham,asham
hence,JJ,hence,henc,henc,hent
perfectionist,NN,perfectionist,perfectionist,perfectionist,perfect
